Postcode,Woonplaats,Naam stadsdeel,Naam Wijk,Naam buurt,pc4
1056WC,Amsterdam,West,Geuzenbuurt,Trompbuurt,1056
1054EM,Amsterdam,West,Overtoomse Sluis,Cremerbuurt-West,1054
1078NX,Amsterdam,Zuid,Scheldebuurt,Scheldebuurt-West,1078
1016PA,Amsterdam,Centrum,Jordaan,Elandsgrachtbuurt,1016
1079AV,Amsterdam,Zuid,Scheldebuurt,Scheldebuurt-West,1079
1052BH,Amsterdam,West,Staatsliedenbuurt,De Wittenbuurt-Noord,1052
1081AJ,Amsterdam,Zuid,Buitenveldert-West,Buitenveldert-Zuidwest,1081
1091HB,Amsterdam,Oost,Weesperzijde,Weesperzijde-Midden/Zuid,1091
1033LS,Amsterdam,Noord,Tuindorp Oostzaan,Terrasdorp,1033
1097MH,Amsterdam,Oost,Frankendael,Tuindorp Amstelstation,1097
1077MR,Amsterdam,Zuid,Apollobuurt,Minervabuurt-Noord,1077
1012RP,Amsterdam,Centrum,Burgwallen-Nieuwe Zijde,Spuistraat-Zuid,1012
1035CA,Amsterdam,Noord,Oostzanerwerf,Molenwijk,1035
1064XJ,Amsterdam,Nieuw-West,Slotermeer-West,Confuciusbuurt,1064
1068CL,Amsterdam,Nieuw-West,Osdorp-Oost,Meer en Oever,1068
1075TS,Amsterdam,Zuid,Schinkelbuurt,Schinkelbuurt-Noord,1075
1072BB,Amsterdam,Zuid,Oude Pijp,Frans Halsbuurt,1072
1093GT,Amsterdam,Oost,Dapperbuurt,Dapperbuurt-Zuid,1093
1073CK,Amsterdam,Zuid,Oude Pijp,Sarphatiparkbuurt,1073
1015RT,Amsterdam,Centrum,Jordaan,Anjeliersbuurt-Zuid,1015
1071VG,Amsterdam,Zuid,Museumkwartier,Duivelseiland,1071
1069AE,Amsterdam,Nieuw-West,Osdorp-Midden,Reimerswaal,1069
1063XZ,Amsterdam,Nieuw-West,Slotermeer-Noordoost,Dobbebuurt,1063
1055CM,Amsterdam,West,Landlust,Erasmusparkbuurt-Oost,1055
1065VA,Amsterdam,Nieuw-West,Slotervaart-Noord,Jacob Geelbuurt,1065
